Barcode,Length,Width,Height,Dimension Unit,Actual Weight,Weight Unit,Material,Qty,Suggested DFC,Packing Configuration
809901838,39.3,33,13.5,cm,1.6,kg,331016G02,1,DFC – 64 R (set),0
809901860,19.1,14.9,7,cm,0.42,kg,CH4525-PES,1,DFC-100,0
809900727,26.1,15.1,8.4,cm,0.33,kg,098015 S-NEW,1,DFC- OT 22,0
809900717,58.3,23.5,13.2,cm,3.05,kg,20150330,1,DFC-TR-L,0
809901851,31.9,30.8,21.5,cm,2.11,kg,B2-BP,1,CFB 5ly Set (OC2),0
809901437,52.5,41.9,24,cm,9.72,kg,20150335,1,DFC – GW2,0
809901875,6.8,5.5,14.7,cm,0.65,kg,Q17335,4,DFC- OT 22 WHITE,1
809901867,6.1,5.9,12.7,cm,0.56,kg,Q13385,2,DFC – TR-S,1
809901867,8.4,8.2,15.6,cm,0.59,kg,Q27555,2,DFC – TR-S,1
809901867,8.8,8.3,15.6,cm,0.61,kg,Q21345,1,DFC – TR-S,0
809901869,11.6,11.1,18.8,cm,0.65,kg,Q28025,20,DFC – 64 R (set),0
